Id,Name,HasLegacyCP
2703180DUS,Anoka-Hennepin School District,
2703450DUS,Austin Public School District,
2703870DUS,Becker Public School District,1
2705790DUS,Bloomington Public School District,
2707290DUS,Burnsville Public School District,1
2709440DUS,Rocori Public School District,
2711250DUS,Edina Public School District,
2711670DUS,Minnetonka Public Schools,
2712270DUS,Forest Lake Public School District,1
2714220DUS,Eden Prairie Public School District,1
2714260DUS,Hopkins Public School District,
2715030DUS,Inver Grove Heights Community Schools,
2716980DUS,Kasson-Mantorville School Dist.,
2718780DUS,Mankato Area Public Schools,
2721240DUS,Minneapolis Public Schools,1
2721420DUS,Moorhead Public School District,1
2722920DUS,Westonka Public School District,
2722950DUS,Mounds View Public School District,
2725080DUS,Orono Public Schools,
2730030DUS,Princeton Public School District,
2730060DUS,Prior Lake-Savage Area Schools,
2731750DUS,Richfield Public School District,
2732390DUS,Rosemount-Apple Valley-Eagan Public Schools,
2732430DUS,Roseville Public School District,
2733330DUS,Spring Lake Park Public Schools,1
2733780DUS,St. Louis Park Public Schools,
2733810DUS,South Washington County Schools,
2733840DUS,Saint Paul Public Schools,
